date,mean_vintage_age_days
2025-01-01,593.873393
2025-01-02,594.878045
2025-01-03,595.882681
2025-01-04,596.891970
2025-01-05,597.873986
2025-01-06,598.878611
2025-01-07,599.867652
2025-01-08,600.869968
2025-01-09,601.869968
2025-01-10,602.847405
2025-01-11,603.820935
2025-01-12,604.787340
2025-01-13,605.763048
2025-01-14,606.738826
2025-01-15,607.729658
2025-01-16,608.705549
2025-01-17,609.681511
2025-01-18,610.659479
2025-01-19,611.576866
2025-01-20,612.533047
2025-01-21,613.468398
2025-01-22,614.404004
2025-01-23,615.321217
2025-01-24,616.260208
2025-01-25,617.150210
2025-01-26,618.087623
2025-01-27,619.087316
2025-01-28,620.067878
2025-01-29,621.079511
2025-01-30,622.025071
2025-01-31,622.978118
2025-02-01,623.955327
2025-02-02,624.934702
2025-02-03,625.884268
2025-02-04,626.813544
2025-02-05,627.784312
2025-02-06,628.756056
2025-02-07,629.691241
2025-02-08,630.609397
2025-02-09,631.506241
2025-02-10,632.344641
2025-02-11,633.150848
2025-02-12,633.978108
2025-02-13,634.808503
2025-02-14,635.756993
2025-02-15,636.763407
2025-02-16,637.718875
2025-02-17,638.670469
2025-02-18,639.656529
2025-02-19,640.642653
2025-02-20,641.628761
2025-02-21,642.629826
2025-02-22,643.619685
2025-02-23,644.643950
2025-02-24,645.663765
2025-02-25,646.669489
2025-02-26,647.682836
2025-02-27,648.705472
2025-02-28,649.718493
2025-03-01,650.694618
2025-03-02,651.694618
2025-03-03,652.707093
2025-03-04,653.716427
2025-03-05,654.725740
2025-03-06,655.725740
2025-03-07,656.739836
2025-03-08,657.752179
2025-03-09,658.751415
2025-03-10,659.753102
2025-03-11,660.762449
2025-03-12,661.806656
2025-03-13,662.772779
2025-03-14,664.912382
2025-03-15,667.480958
2025-03-16,670.167867
2025-03-17,672.266708
2025-03-18,674.825157
2025-03-19,677.086092
2025-03-20,679.192086
2025-03-21,681.339001
2025-03-22,682.862341
2025-03-23,684.437214
2025-03-24,683.514721
2025-03-25,677.300594
2025-03-26,595.616867
2025-03-27,595.310219
2025-03-28,586.812133
2025-03-29,560.485336
2025-03-30,540.032319
2025-03-31,413.757730
2025-04-01,401.714974
2025-04-02,400.860215
2025-04-03,390.800914
2025-04-04,390.955293
2025-04-05,391.388963
2025-04-06,392.112285
2025-04-07,394.201447
2025-04-08,394.595473
2025-04-09,395.177200
2025-04-10,395.615081
2025-04-11,396.513216
2025-04-12,396.479089
2025-04-13,396.345256
2025-04-14,396.149240
2025-04-15,396.568016
2025-04-16,396.492186
2025-04-17,396.960858
2025-04-18,397.392022
2025-04-19,397.551395
2025-04-20,397.572729
2025-04-21,398.370678
2025-04-22,397.897009
2025-04-23,395.729259
2025-04-24,396.509378
2025-04-25,397.443484
2025-04-26,398.099843
2025-04-27,398.829707
2025-04-28,399.338686
2025-04-29,399.433931
2025-04-30,400.444983
2025-05-01,401.355593
2025-05-02,401.802977
2025-05-03,402.455650
2025-05-04,402.458711
2025-05-05,400.302281
2025-05-06,400.273126
2025-05-07,400.687987
2025-05-08,401.435581
2025-05-09,401.708136
2025-05-10,401.913822
2025-05-11,401.815656
2025-05-12,393.183224
2025-05-13,364.848638
2025-05-14,361.456490
2025-05-15,341.845550
2025-05-16,322.210492
2025-05-17,286.265661
2025-05-18,279.568358
2025-05-19,279.995070
2025-05-20,281.395431
2025-05-21,289.185489
2025-05-22,291.193673
2025-05-23,295.337063
2025-05-24,296.351624
2025-05-25,303.526356
2025-05-26,309.890686
2025-05-27,349.856872
2025-05-28,365.443744
2025-05-29,396.793887
2025-05-30,406.650283
2025-05-31,407.398182
2025-06-01,408.147389
2025-06-02,408.693563
2025-06-03,409.249248
2025-06-04,409.883368
2025-06-05,425.289479
2025-06-06,426.354951
2025-06-07,427.556634
2025-06-08,429.111261
2025-06-09,431.183106
2025-06-10,432.864626
2025-06-11,433.889002
2025-06-12,435.464178
2025-06-13,436.726949
2025-06-14,437.812461
2025-06-15,438.817381
2025-06-16,437.994927
2025-06-17,438.857931
2025-06-18,439.673336
2025-06-19,440.374197
2025-06-20,441.213603
2025-06-21,442.155354
2025-06-22,442.998782
2025-06-23,425.175261
2025-06-24,407.133824
2025-06-25,404.687149
2025-06-26,401.638683
2025-06-27,398.788535
2025-06-28,395.974564
2025-06-29,393.860856
2025-06-30,393.785806
2025-07-01,393.957314
2025-07-02,394.228244
2025-07-03,394.959592
2025-07-04,396.074397
