date,p10,p25,p50,p75,p90
2022-10-10,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-11,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-12,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-13,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-14,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-15,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-16,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-17,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-18,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-19,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-20,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-21,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-22,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-23,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-24,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-25,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-26,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-27,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-28,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-29,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-30,39.735510,55.115291,179.185197,179.185197,206.667507
2022-10-31,39.735510,55.115291,179.185197,179.185197,206.667507
2022-11-01,39.735510,55.115291,179.185197,179.185197,206.667507
2022-11-02,39.735510,55.115291,179.185197,179.185197,206.667507
2022-11-03,39.735510,55.115291,178.927306,178.927306,206.667507
2022-11-04,39.735510,55.115291,178.669415,178.669415,206.667507
2022-11-05,39.735510,55.115291,177.642302,177.642302,206.667507
2022-11-06,39.735510,55.115291,176.877498,176.877498,206.667507
2022-11-07,39.735510,55.115291,175.100278,175.100278,206.667507
2022-11-08,39.735510,55.115291,173.592557,173.592557,206.667507
2022-11-09,39.735510,55.115291,171.356885,171.356885,206.667507
2022-11-10,39.735510,55.115291,169.146843,169.146843,206.667507
2022-11-11,39.735510,55.115291,167.210470,167.210470,206.667507
2022-11-12,39.735510,55.115291,165.290771,165.290771,206.667507
2022-11-13,39.735510,55.115291,163.395826,163.395826,206.667507
2022-11-14,39.735510,55.115291,161.525290,161.525290,206.667507
2022-11-15,39.735510,55.115291,159.670860,159.670860,206.667507
2022-11-16,39.735510,55.115291,157.614484,157.614484,206.667507
2022-11-17,39.735510,55.115291,155.581682,155.581682,206.667507
2022-11-18,39.735510,55.115291,154.242028,154.910568,206.667507
2022-11-19,39.735510,55.115291,152.255568,154.910568,206.667507
2022-11-20,39.735510,55.115291,150.725743,154.910568,206.667507
2022-11-21,39.735510,55.115291,148.997777,154.910568,206.667507
2022-11-22,39.735510,55.115291,147.292068,154.910568,206.667507
2022-11-23,39.735510,55.115291,145.601046,154.910568,206.667507
2022-11-24,39.735510,55.115291,143.725873,154.910568,206.667507
2022-11-25,39.735510,55.115291,141.872196,154.910568,206.667507
2022-11-26,39.735510,55.115291,140.650590,154.910568,206.667507
2022-11-27,39.735510,55.115291,138.839172,154.910568,206.667507
2022-11-28,39.735510,55.115291,137.444152,154.910568,206.667507
2022-11-29,39.735510,55.115291,135.868449,154.910568,206.667507
2022-11-30,39.735510,55.115291,134.313044,154.910568,206.667507
2022-12-01,39.735510,55.115291,132.771031,154.910568,206.667507
2022-12-02,39.735510,55.115291,131.061093,154.910568,206.667507
2022-12-03,39.735510,55.115291,129.370758,154.910568,206.667507
2022-12-04,39.735510,55.115291,128.256796,154.910568,206.667507
2022-12-05,39.735510,55.115291,126.604997,154.910568,206.667507
2022-12-06,39.735510,55.115291,125.332902,154.910568,206.667507
2022-12-07,39.735510,55.115291,123.896047,154.910568,206.667507
2022-12-08,39.735510,55.115291,122.477700,154.910568,206.667507
2022-12-09,39.735510,55.115291,121.071565,154.910568,206.667507
2022-12-10,39.735510,55.115291,119.339552,154.910568,206.667507
2022-12-11,39.735510,55.115291,117.970916,154.910568,206.667507
2022-12-12,39.735510,55.115291,116.955114,154.910568,206.667507
2022-12-13,39.735510,55.115291,115.448867,154.910568,206.667507
2022-12-14,39.735510,55.115291,113.959888,154.910568,206.667507
2022-12-15,39.735510,55.115291,112.653885,154.910568,206.667507
2022-12-16,39.735510,55.115291,111.041370,154.910568,206.667507
2022-12-17,39.735510,55.115291,110.403029,154.910568,206.667507
2022-12-18,39.735510,55.115291,108.823636,154.910568,206.667507
2022-12-19,39.735510,55.115291,107.575602,154.910568,206.667507
2022-12-20,39.735510,55.115291,106.649310,154.910568,206.667507
2022-12-21,39.735510,55.115291,105.275789,154.910568,206.667507
2022-12-22,39.735510,55.115291,103.918016,154.910568,206.667507
2022-12-23,39.735510,55.115291,102.727094,154.910568,206.667507
2022-12-24,39.735510,55.115291,101.256670,154.910568,206.667507
2022-12-25,39.735510,55.115291,100.674578,154.910568,206.667507
2022-12-26,39.735510,55.115291,99.234358,154.910568,206.667507
2022-12-27,39.735510,55.115291,98.096297,154.910568,206.667507
2022-12-28,39.735510,55.115291,97.251628,154.910568,206.667507
2022-12-29,39.735510,55.115291,95.999139,154.910568,206.667507
2022-12-30,39.735510,55.115291,94.761009,154.910568,206.667507
2022-12-31,39.735510,55.115291,93.675028,154.910568,206.667507
2023-01-01,39.735510,55.115291,92.334175,154.910568,206.667507
2023-01-02,39.735510,55.115291,91.803375,154.910568,206.667507
2023-01-03,39.735510,55.115291,90.490064,154.910568,206.667507
2023-01-04,39.735510,55.115291,89.194799,154.910568,206.667507
2023-01-05,39.735510,55.115291,88.682047,154.910568,206.667507
2023-01-06,39.735510,55.115291,87.539924,154.910568,206.667507
2023-01-07,39.735510,55.115291,86.410895,154.910568,206.667507
2023-01-08,39.735510,55.115291,85.298023,154.910568,206.667507
2023-01-09,39.564026,54.640488,84.197908,154.242028,205.775603
2023-01-10,39.450141,54.483206,83.713881,154.242028,205.775603
2023-01-11,39.279970,54.170225,82.516296,154.242028,205.775603
2023-01-12,39.110451,53.703563,81.335167,154.242028,205.775603
2023-01-13,38.941745,53.471908,80.519437,152.914545,205.775603
2023-01-14,38.773686,53.241142,79.480954,152.473750,205.775603
2023-01-15,38.662077,53.087889,78.796574,152.473750,205.775603
2023-01-16,38.495305,52.630988,77.781765,152.473750,205.775603
2023-01-17,38.218843,52.177586,76.778590,152.473750,205.775603
2023-01-18,37.999135,51.579406,76.337214,152.473750,204.592665
2023-01-19,37.672096,50.988931,75.245157,152.473750,204.592665
2023-01-20,37.347561,50.403541,74.168107,151.597227,204.592665
2023-01-21,36.920010,49.826527,73.424257,151.597227,204.592665
2023-01-22,36.496141,49.254482,72.477282,151.597227,204.592665
2023-01-23,36.286337,48.689813,71.853209,150.725743,203.416527
2023-01-24,35.974039,48.132418,70.927822,150.725743,203.416527
2023-01-25,35.664132,47.579822,70.013044,149.859270,203.416527
2023-01-26,35.459110,47.306301,69.610562,149.859270,203.416527
2023-01-27,35.153932,46.629551,68.614734,149.859270,202.831839
2023-01-28,34.851090,45.962101,67.632591,148.997777,202.247151
2023-01-29,34.551144,45.435933,66.858341,148.997777,202.247151
2023-01-30,34.253496,44.914295,66.090758,148.141237,202.247151
2023-01-31,34.056583,44.399383,65.521676,148.141237,202.247151
2023-02-01,33.666707,44.017260,64.677832,148.141237,201.665824
2023-02-02,33.280189,43.387202,63.843662,147.289620,201.084497
2023-02-03,33.088872,43.137783,63.293929,147.289620,201.084497
2023-02-04,32.804093,42.520667,62.568568,146.866260,201.084497
2023-02-05,32.521494,41.912031,61.672969,146.442900,201.084497
2023-02-06,32.241598,41.551315,60.966944,146.442900,200.506512
2023-02-07,31.963845,40.956554,60.266998,145.601046,199.928527
2023-02-08,31.871838,40.721108,59.748063,145.601046,199.928527
2023-02-09,31.734356,40.138565,58.978576,145.182540,199.928527
2023-02-10,31.506449,39.564026,58.217912,144.764033,199.928527
2023-02-11,31.235289,39.223518,57.468132,144.764033,199.928527
2023-02-12,30.966206,38.662077,56.890707,143.931831,199.353037
2023-02-13,30.435225,38.439821,56.238494,143.931831,198.779202
2023-02-14,29.827369,37.889913,55.594683,143.518122,198.493111
2023-02-15,29.570414,37.347561,54.956415,143.104413,197.636485
2023-02-16,29.400423,37.132862,54.483206,143.104413,197.636485
2023-02-17,29.189339,36.707769,53.781525,142.281752,197.636485
2023-02-18,29.063368,36.286337,53.087889,142.281752,197.636485
2023-02-19,28.896412,35.767236,52.404178,141.872786,197.636485
2023-02-20,28.647477,35.255267,51.877634,141.463820,197.636485
2023-02-21,28.482792,35.052596,51.282893,141.463820,196.500336
2023-02-22,28.237655,34.551144,50.695812,140.650590,196.500336
2023-02-23,27.994395,34.253496,50.113787,140.650590,196.500336
2023-02-24,27.673459,33.860803,49.539267,140.650590,196.500336
2023-02-25,27.435287,33.473168,49.042426,139.842035,196.500336
2023-02-26,27.198940,33.088872,48.409911,139.842035,195.370719
2023-02-27,26.964852,32.615512,47.786447,139.038128,195.370719
2023-02-28,26.732557,32.334538,47.170131,139.038128,195.370719
2023-03-01,26.578880,31.963845,46.763967,139.038128,195.370719
2023-03-02,26.350129,31.597927,46.228619,138.238842,195.370719
2023-03-03,26.123130,31.235159,45.697880,138.238842,194.247595
2023-03-04,25.898301,30.788319,45.044140,137.444152,194.247595
2023-03-05,25.675194,30.347618,44.527555,137.444152,194.247595
2023-03-06,25.527596,30.173160,44.144145,137.444152,194.247595
2023-03-07,25.235359,29.827741,43.575620,136.654029,194.247595
2023-03-08,24.945639,29.485296,43.013612,136.654029,193.130928
2023-03-09,24.802234,29.147268,42.643238,135.868449,193.130928
2023-03-10,24.588774,28.813593,42.155063,135.868449,193.130928
2023-03-11,24.376948,28.482792,41.671092,135.868449,193.130928
2023-03-12,24.167148,28.156724,41.074958,135.087385,192.575805
2023-03-13,23.958955,27.833464,40.603893,135.087385,192.020681
2023-03-14,23.821222,27.514373,40.254269,134.310811,192.020681
2023-03-15,23.616205,27.199392,39.735840,134.310811,192.020681
2023-03-16,23.412758,26.887123,39.223355,134.310811,192.020681
2023-03-17,23.278165,26.732557,38.885618,133.538702,192.020681
2023-03-18,23.011680,26.350129,38.440460,133.538702,190.916816
2023-03-19,22.747489,25.972957,37.999135,132.771031,190.916816
2023-03-20,22.551713,25.675621,37.455531,132.771031,190.916816
2023-03-21,22.357436,25.380846,36.919397,132.771031,190.916816
