date,p10,p25,p50,p75,p90
2025-01-01,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-02,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-03,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-04,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-05,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-06,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-07,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-08,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-09,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-10,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-11,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-12,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-13,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-14,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-15,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-16,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-17,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-18,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-19,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-20,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-21,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-22,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-23,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-24,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-25,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-26,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-27,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-28,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-29,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-30,0.190441,0.245811,0.303545,0.303545,0.316712
2025-01-31,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-01,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-02,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-03,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-04,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-05,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-06,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-07,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-08,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-09,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-10,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-11,0.190441,0.245811,0.304220,0.304220,0.316712
2025-02-12,0.190441,0.245811,0.304220,0.304220,0.316712
2025-02-13,0.190441,0.245811,0.304558,0.304558,0.316712
2025-02-14,0.190441,0.245811,0.304558,0.304558,0.316712
2025-02-15,0.190441,0.245811,0.303714,0.303714,0.316712
2025-02-16,0.190441,0.245811,0.303545,0.303545,0.316712
2025-02-17,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-18,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-19,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-20,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-21,0.190441,0.245811,0.303883,0.303883,0.316712
2025-02-22,0.190441,0.245811,0.305233,0.305233,0.316712
2025-02-23,0.190441,0.245811,0.305571,0.305571,0.316712
2025-02-24,0.190441,0.245811,0.305571,0.305571,0.316712
2025-02-25,0.190779,0.246149,0.305571,0.305571,0.316712
2025-02-26,0.191116,0.246487,0.305571,0.305571,0.316712
2025-02-27,0.191116,0.247162,0.305571,0.305571,0.316712
2025-02-28,0.191116,0.247162,0.305740,0.305740,0.316712
2025-03-01,0.191116,0.247162,0.306921,0.306921,0.316712
2025-03-02,0.191116,0.247162,0.306921,0.306921,0.316712
2025-03-03,0.191116,0.248512,0.306921,0.306921,0.316712
2025-03-04,0.191116,0.249525,0.306921,0.306921,0.316712
2025-03-05,0.191116,0.250538,0.306921,0.306921,0.316712
2025-03-06,0.191116,0.250538,0.306921,0.306921,0.316712
2025-03-07,0.191791,0.251889,0.306921,0.306921,0.316712
2025-03-08,0.191791,0.253239,0.306921,0.306921,0.316712
2025-03-09,0.191116,0.254590,0.306921,0.306921,0.316712
2025-03-10,0.188078,0.256278,0.306921,0.306921,0.317894
2025-03-11,0.186389,0.257966,0.305908,0.305908,0.319076
2025-03-12,0.186389,0.259654,0.303883,0.303883,0.320426
2025-03-13,0.189766,0.262017,0.301857,0.306584,0.320764
2025-03-14,0.192804,0.265056,0.299831,0.306584,0.320764
2025-03-15,0.195843,0.268095,0.297805,0.306584,0.320764
2025-03-16,0.199557,0.270795,0.295611,0.306584,0.320764
2025-03-17,0.202595,0.272821,0.293754,0.306584,0.325491
2025-03-18,0.205634,0.274172,0.291391,0.306584,0.326166
2025-03-19,0.210023,0.275522,0.289365,0.306584,0.328867
2025-03-20,0.212724,0.277548,0.287339,0.306584,0.333931
2025-03-21,0.215425,0.277548,0.284976,0.313336,0.341021
2025-03-22,0.216776,0.278223,0.283625,0.320764,0.348449
2025-03-23,0.217451,0.278223,0.282275,0.328867,0.357565
2025-03-24,0.219477,0.283625,0.283625,0.333594,0.366006
2025-03-25,0.224203,0.282444,0.282444,0.346086,0.382718
2025-03-26,0.225554,0.282275,0.282275,0.353851,0.395379
2025-03-27,0.225554,0.282275,0.282275,0.359253,0.405170
2025-03-28,0.225554,0.282950,0.282950,0.366681,0.418675
2025-03-29,0.225554,0.283625,0.283625,0.374784,0.432855
2025-03-30,0.222853,0.283625,0.283625,0.382212,0.446360
2025-03-31,0.222853,0.283625,0.283625,0.389639,0.454801
2025-04-01,0.222853,0.283625,0.283625,0.397067,0.468643
2025-04-02,0.222178,0.283625,0.283625,0.404495,0.478772
2025-04-03,0.222178,0.284300,0.284300,0.412598,0.487550
