date,intelligence_index
2022-10-29,0.152839
2022-10-30,0.152891
2022-10-31,0.152929
2022-11-01,0.152968
2022-11-02,0.153007
2022-11-03,0.153046
2022-11-04,0.153098
2022-11-05,0.153137
2022-11-06,0.153175
2022-11-07,0.153214
2022-11-08,0.153253
2022-11-09,0.153305
2022-11-10,0.153344
2022-11-11,0.153383
2022-11-12,0.153421
2022-11-13,0.153460
2022-11-14,0.153512
2022-11-15,0.153525
2022-11-16,0.153525
2022-11-17,0.153525
2022-11-18,0.153525
2022-11-19,0.153525
2022-11-20,0.153525
2022-11-21,0.153525
2022-11-22,0.153525
2022-11-23,0.153525
2022-11-24,0.153525
2022-11-25,0.153525
2022-11-26,0.153525
2022-11-27,0.153525
2022-11-28,0.153525
2022-11-29,0.153525
2022-11-30,0.153525
2022-12-01,0.153525
2022-12-02,0.153525
2022-12-03,0.153525
2022-12-04,0.153525
2022-12-05,0.153525
2022-12-06,0.153525
2022-12-07,0.153525
2022-12-08,0.153525
2022-12-09,0.153525
2022-12-10,0.153525
2022-12-11,0.153525
2022-12-12,0.153525
2022-12-13,0.153525
2022-12-14,0.153525
2022-12-15,0.153525
2022-12-16,0.153525
2022-12-17,0.153525
2022-12-18,0.153525
2022-12-19,0.153525
2022-12-20,0.153525
2022-12-21,0.153525
2022-12-22,0.153525
2022-12-23,0.153525
2022-12-24,0.153525
2022-12-25,0.153525
2022-12-26,0.153525
2022-12-27,0.153525
2022-12-28,0.153525
2022-12-29,0.153525
2022-12-30,0.153525
2022-12-31,0.153525
2023-01-01,0.153525
2023-01-02,0.153525
2023-01-03,0.153525
2023-01-04,0.153525
2023-01-05,0.153525
2023-01-06,0.153525
2023-01-07,0.153525
2023-01-08,0.153525
2023-01-09,0.153525
2023-01-10,0.153525
2023-01-11,0.153525
2023-01-12,0.153525
2023-01-13,0.153525
2023-01-14,0.153525
2023-01-15,0.153525
2023-01-16,0.153525
2023-01-17,0.153525
2023-01-18,0.153525
2023-01-19,0.153525
2023-01-20,0.153525
2023-01-21,0.153525
2023-01-22,0.153525
2023-01-23,0.153525
2023-01-24,0.153525
2023-01-25,0.153525
2023-01-26,0.153525
2023-01-27,0.153525
2023-01-28,0.153525
2023-01-29,0.153525
2023-01-30,0.153525
2023-01-31,0.153525
2023-02-01,0.153525
2023-02-02,0.153525
2023-02-03,0.153525
2023-02-04,0.153525
2023-02-05,0.153525
2023-02-06,0.153525
2023-02-07,0.153525
2023-02-08,0.153525
2023-02-09,0.153525
2023-02-10,0.153525
2023-02-11,0.153525
2023-02-12,0.153525
2023-02-13,0.153525
2023-02-14,0.153525
2023-02-15,0.153298
2023-02-16,0.152996
2023-02-17,0.152769
2023-02-18,0.152542
2023-02-19,0.152316
2023-02-20,0.152089
2023-02-21,0.151787
2023-02-22,0.151560
2023-02-23,0.151333
2023-02-24,0.151106
2023-02-25,0.150880
2023-02-26,0.150577
2023-02-27,0.150350
2023-02-28,0.150124
2023-03-01,0.149897
2023-03-02,0.149670
2023-03-03,0.149368
2023-03-04,0.149141
2023-03-05,0.148914
2023-03-06,0.148688
2023-03-07,0.148461
2023-03-08,0.148158
2023-03-09,0.147932
2023-03-10,0.147932
2023-03-11,0.147932
2023-03-12,0.150379
2023-03-13,0.151078
2023-03-14,0.150728
2023-03-15,0.150728
2023-03-16,0.150728
2023-03-17,0.150728
2023-03-18,0.150728
2023-03-19,0.150728
2023-03-20,0.150728
2023-03-21,0.150728
2023-03-22,0.150728
2023-03-23,0.150728
2023-03-24,0.150728
2023-03-25,0.150728
2023-03-26,0.150728
2023-03-27,0.150728
2023-03-28,0.150728
2023-03-29,0.150728
2023-03-30,0.150728
2023-03-31,0.150728
2023-04-01,0.150728
2023-04-02,0.150728
2023-04-03,0.150728
2023-04-04,0.150728
2023-04-05,0.150728
2023-04-06,0.150728
2023-04-07,0.150728
2023-04-08,0.150728
2023-04-09,0.150728
2023-04-10,0.150728
2023-04-11,0.150728
2023-04-12,0.150728
2023-04-13,0.150728
2023-04-14,0.150728
2023-04-15,0.150728
2023-04-16,0.150728
2023-04-17,0.150728
2023-04-18,0.150728
2023-04-19,0.150728
2023-04-20,0.150728
2023-04-21,0.150728
2023-04-22,0.150029
2023-04-23,0.148980
2023-04-24,0.148281
2023-04-25,0.147233
2023-04-26,0.146533
2023-04-27,0.145834
2023-04-28,0.144786
2023-04-29,0.143737
2023-04-30,0.143038
2023-05-01,0.141989
2023-05-02,0.141639
2023-05-03,0.140591
2023-05-04,0.139192
2023-05-05,0.138843
2023-05-06,0.138143
2023-05-07,0.137444
2023-05-08,0.137444
2023-05-09,0.137095
2023-05-10,0.136745
2023-05-11,0.136745
2023-05-12,0.136046
2023-05-13,0.136046
2023-05-14,0.136046
2023-05-15,0.136046
2023-05-16,0.136046
2023-05-17,0.136046
2023-05-18,0.136046
2023-05-19,0.136046
2023-05-20,0.136046
2023-05-21,0.138843
2023-05-22,0.143038
2023-05-23,0.146533
2023-05-24,0.150029
2023-05-25,0.154224
2023-05-26,0.159118
2023-05-27,0.162614
2023-05-28,0.167508
2023-05-29,0.170305
2023-05-30,0.174150
2023-05-31,0.179394
2023-06-01,0.182890
2023-06-02,0.186735
2023-06-03,0.190581
2023-06-04,0.193727
2023-06-05,0.197922
2023-06-06,0.201068
2023-06-07,0.204214
2023-06-08,0.208060
2023-06-09,0.211206
2023-06-10,0.215401
2023-06-11,0.218547
2023-06-12,0.221694
2023-06-13,0.224840
2023-06-14,0.227986
2023-06-15,0.232181
2023-06-16,0.235327
2023-06-17,0.237425
2023-06-18,0.236726
2023-06-19,0.235677
2023-06-20,0.233929
2023-06-21,0.232531
2023-06-22,0.231482
2023-06-23,0.230433
2023-06-24,0.229384
2023-06-25,0.227636
2023-06-26,0.226238
2023-06-27,0.225189
2023-06-28,0.224141
2023-06-29,0.223441
2023-06-30,0.222043
2023-07-01,0.219946
2023-07-02,0.217848
2023-07-03,0.216450
2023-07-04,0.214352
2023-07-05,0.212954
2023-07-06,0.210857
2023-07-07,0.208759
2023-07-08,0.206662
2023-07-09,0.205263
2023-07-10,0.203166
2023-07-11,0.201418
2023-07-12,0.198971
2023-07-13,0.197572
2023-07-14,0.195475
2023-07-15,0.194077
2023-07-16,0.193727
2023-07-17,0.192678
2023-07-18,0.191979
2023-07-19,0.191630
2023-07-20,0.191280
2023-07-21,0.190231
2023-07-22,0.189532
2023-07-23,0.189182
2023-07-24,0.188483
2023-07-25,0.187784
2023-07-26,0.187435
2023-07-27,0.186386
2023-07-28,0.185687
2023-07-29,0.185687
2023-07-30,0.185687
2023-07-31,0.185687
2023-08-01,0.185687
2023-08-02,0.185687
2023-08-03,0.185687
2023-08-04,0.185687
2023-08-05,0.185687
2023-08-06,0.185687
2023-08-07,0.185687
2023-08-08,0.185687
2023-08-09,0.185687
2023-08-10,0.185687
2023-08-11,0.185687
2023-08-12,0.185687
2023-08-13,0.185687
2023-08-14,0.185687
2023-08-15,0.185687
2023-08-16,0.185687
2023-08-17,0.185687
2023-08-18,0.185687
2023-08-19,0.185687
2023-08-20,0.185687
2023-08-21,0.185687
2023-08-22,0.185687
2023-08-23,0.185687
2023-08-24,0.185687
2023-08-25,0.185687
2023-08-26,0.184987
2023-08-27,0.184987
2023-08-28,0.184288
2023-08-29,0.183589
2023-08-30,0.183240
2023-08-31,0.182890
2023-09-01,0.182191
2023-09-02,0.181492
2023-09-03,0.180792
2023-09-04,0.180443
2023-09-05,0.180093
2023-09-06,0.180093
2023-09-07,0.180093
2023-09-08,0.180093
2023-09-09,0.180093
2023-09-10,0.180093
2023-09-11,0.181142
2023-09-12,0.182890
2023-09-13,0.184288
2023-09-14,0.186036
2023-09-15,0.187085
2023-09-16,0.188833
2023-09-17,0.189532
2023-09-18,0.189882
2023-09-19,0.190930
2023-09-20,0.191280
2023-09-21,0.191979
2023-09-22,0.192678
2023-09-23,0.193377
2023-09-24,0.193377
2023-09-25,0.193377
2023-09-26,0.193377
2023-09-27,0.193377
2023-09-28,0.193377
2023-09-29,0.193377
2023-09-30,0.193377
2023-10-01,0.192678
2023-10-02,0.191979
2023-10-03,0.191979
2023-10-04,0.191979
2023-10-05,0.191979
2023-10-06,0.191979
2023-10-07,0.190581
2023-10-08,0.188483
2023-10-09,0.186386
2023-10-10,0.184987
2023-10-11,0.182890
2023-10-12,0.180093
2023-10-13,0.177996
2023-10-14,0.176248
2023-10-15,0.175199
2023-10-16,0.173801
2023-10-17,0.172053
2023-10-18,0.171004
2023-10-19,0.169955
2023-10-20,0.169606
2023-10-21,0.167858
2023-10-22,0.167508
2023-10-23,0.167508
2023-10-24,0.167508
2023-10-25,0.167508
2023-10-26,0.167508
2023-10-27,0.167508
2023-10-28,0.167508
2023-10-29,0.167159
2023-10-30,0.166110
2023-10-31,0.165760
2023-11-01,0.165411
2023-11-02,0.164712
2023-11-03,0.163663
2023-11-04,0.163313
2023-11-05,0.162614
2023-11-06,0.161915
2023-11-07,0.161565
2023-11-08,0.160866
2023-11-09,0.159818
2023-11-10,0.159468
2023-11-11,0.159118
2023-11-12,0.158419
2023-11-13,0.157370
2023-11-14,0.157021
2023-11-15,0.156671
2023-11-16,0.155623
2023-11-17,0.155273
2023-11-18,0.154574
2023-11-19,0.154224
2023-11-20,0.154224
2023-11-21,0.154224
2023-11-22,0.154224
2023-11-23,0.154224
2023-11-24,0.154224
2023-11-25,0.154224
2023-11-26,0.154224
2023-11-27,0.154923
2023-11-28,0.155273
2023-11-29,0.155623
2023-11-30,0.156322
2023-12-01,0.157021
2023-12-02,0.157021
2023-12-03,0.157720
2023-12-04,0.158419
2023-12-05,0.158419
2023-12-06,0.159118
2023-12-07,0.159118
2023-12-08,0.159818
2023-12-09,0.159818
2023-12-10,0.160517
2023-12-11,0.160517
2023-12-12,0.160866
2023-12-13,0.161216
2023-12-14,0.161915
2023-12-15,0.161915
2023-12-16,0.161915
2023-12-17,0.161915
2023-12-18,0.161915
2023-12-19,0.161915
2023-12-20,0.161915
2023-12-21,0.161915
2023-12-22,0.161915
2023-12-23,0.161915
2023-12-24,0.161915
2023-12-25,0.161915
2023-12-26,0.161915
2023-12-27,0.161915
2023-12-28,0.161915
2023-12-29,0.161915
2023-12-30,0.161915
2023-12-31,0.161915
2024-01-01,0.161216
2024-01-02,0.161216
2024-01-03,0.161216
2024-01-04,0.161216
2024-01-05,0.161216
2024-01-06,0.161216
2024-01-07,0.161915
2024-01-08,0.161915
2024-01-09,0.161915
2024-01-10,0.162614
2024-01-11,0.162614
2024-01-12,0.162614
2024-01-13,0.162964
2024-01-14,0.163313
2024-01-15,0.163313
2024-01-16,0.163313
2024-01-17,0.163313
2024-01-18,0.163313
2024-01-19,0.163663
2024-01-20,0.164013
2024-01-21,0.165061
2024-01-22,0.165411
2024-01-23,0.166460
2024-01-24,0.167159
2024-01-25,0.168208
2024-01-26,0.169606
2024-01-27,0.169606
2024-01-28,0.170305
2024-01-29,0.171354
2024-01-30,0.172402
