date,token_weighted_intelligence,token_weighted_intelligence_smooth,implied_vintage_date,implied_vintage_date_p05,implied_vintage_date_p95,implied_age_days,implied_age_days_p05,implied_age_days_p95,sigma_intelligence_est
2025-02-02,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,618.93,618.82,619.04,0.002000
2025-02-03,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,619.93,619.82,620.04,0.002000
2025-02-04,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,620.93,620.82,621.04,0.002000
2025-02-05,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,621.93,621.82,622.04,0.002000
2025-02-06,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,622.93,622.82,623.04,0.002000
2025-02-07,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,623.93,623.82,624.04,0.002000
2025-02-08,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,624.93,624.82,625.04,0.002000
2025-02-09,0.303545,0.303545,2023-05-25,2023-05-25,2023-05-25,625.93,625.82,626.04,0.002000
2025-02-10,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,626.92,626.81,627.03,0.002000
2025-02-11,0.304220,0.304220,2023-05-25,2023-05-25,2023-05-25,627.91,627.80,628.02,0.002000
2025-02-12,0.304220,0.304220,2023-05-25,2023-05-25,2023-05-25,628.91,628.80,629.02,0.002000
2025-02-13,0.304558,0.304220,2023-05-25,2023-05-25,2023-05-25,629.91,629.80,630.02,0.002000
2025-02-14,0.304558,0.304220,2023-05-25,2023-05-25,2023-05-25,630.91,630.80,631.02,0.002000
2025-02-15,0.303714,0.303883,2023-05-25,2023-05-25,2023-05-25,631.92,631.81,632.03,0.002000
2025-02-16,0.303545,0.303883,2023-05-25,2023-05-25,2023-05-25,632.92,632.81,633.03,0.002000
2025-02-17,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,633.92,633.81,634.03,0.002000
2025-02-18,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,634.92,634.81,635.03,0.002000
2025-02-19,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,635.92,635.81,636.03,0.002000
2025-02-20,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,636.92,636.81,637.03,0.002000
2025-02-21,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,637.92,637.81,638.03,0.002000
2025-02-22,0.305233,0.305233,2023-05-25,2023-05-25,2023-05-25,638.88,638.77,638.99,0.002000
2025-02-23,0.305571,0.305571,2023-05-25,2023-05-25,2023-05-25,639.87,639.76,639.98,0.002000
2025-02-24,0.305571,0.305571,2023-05-25,2023-05-25,2023-05-25,640.87,640.76,640.98,0.002000
2025-02-25,0.305571,0.305571,2023-05-25,2023-05-25,2023-05-25,641.87,641.76,641.98,0.002000
2025-02-26,0.305571,0.305571,2023-05-25,2023-05-25,2023-05-25,642.87,642.76,642.98,0.002000
2025-02-27,0.305571,0.305571,2023-05-25,2023-05-25,2023-05-25,643.87,643.76,643.98,0.002000
2025-02-28,0.305740,0.305740,2023-05-25,2023-05-25,2023-05-25,644.87,644.75,644.98,0.002000
2025-03-01,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,645.83,645.72,645.94,0.002000
2025-03-02,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,646.83,646.72,646.94,0.002000
2025-03-03,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,647.83,647.72,647.94,0.002000
2025-03-04,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,648.83,648.72,648.94,0.002000
2025-03-05,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,649.83,649.72,649.94,0.002000
2025-03-06,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,650.83,650.72,650.94,0.002000
2025-03-07,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,651.83,651.72,651.94,0.002000
2025-03-08,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,652.83,652.72,652.94,0.002000
2025-03-09,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,653.83,653.72,653.94,0.002000
2025-03-10,0.306921,0.306921,2023-05-25,2023-05-25,2023-05-25,654.83,654.72,654.94,0.002000
2025-03-11,0.305908,0.305908,2023-05-25,2023-05-25,2023-05-25,655.86,655.75,655.97,0.002000
2025-03-12,0.303883,0.303883,2023-05-25,2023-05-25,2023-05-25,656.92,656.81,657.03,0.002000
2025-03-13,0.301857,0.301857,2023-05-25,2023-05-25,2023-05-25,657.98,657.88,658.09,0.002000
2025-03-14,0.299831,0.299831,2023-05-19,2023-05-13,2023-05-26,664.58,658.00,671.16,0.002000
